,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
131,,USA 193,21 Feb 2008,Deliberate,2006-057A,174.0,,,,04 Dec 2017,
132,,Cosmos-2421 fragmentation debris,14 Mar 2008,Unknown,2006-026A,509.0,1.0,47883.0,1234.0,24 Oct 2018,
133,,Centaur-5 SEC (Atlas V 421),21 Mar 2008,Aerodynamics,2007-046B,,,,,04 Dec 2017,
134,,Cosmos-2030,28 Jul 1989,Deliberate,1989-054A,,,,,04 Dec 2017,
135,,Cosmos-2421 fragmentation debris,28 Apr 2008,Unknown,2006-026A,508.0,,,,04 Dec 2017,
136,,Cosmos-2421 fragmentation debris,09 Jun 2008,Unknown,2006-026A,508.0,,,,04 Dec 2017,
137,,Blok-ML (Molniya-M Blok-ML),30 Jun 1998,Aerodynamics,1981-054E,,,,,04 Dec 2017,
138,,Cosmos-1818 (NPP),04 Jul 2008,Collision,1987-011A,29.0,28.0,,,04 Dec 2017,
139,,Cosmos-2251/Iridium 33,10 Feb 2009,Collision,1993-036A/1997-051C,2304.0,1390.0,165049.0,3217.0,16 Oct 2020,
140,,Proton-K/DM-2 ullage motor (SOZ),08 Mar 2009,Propulsion,1991-025F,32.0,10.0,,,04 Dec 2017,
141,,NOAA 16,25 Nov 2015,Electrical,2000-055A,458.0,457.0,53186.0,1370.0,24 Oct 2018,
142,,Proton-M/DM-2 ullage motor (SOZ),18 Aug 2011,Propulsion,2007-065G,,,,,04 Dec 2017,
143,,Proton-K/DM-2 ullage motor (SOZ),17 Nov 2011,Propulsion,1990-045F,,,,,04 Dec 2017,
144,,H-18 (Long March (CZ) 3B/E),19 Dec 2011,Unknown,2011-077B,38.0,38.0,3159.0,93.0,24 Oct 2018,
145,,Cosmos-2031,31 Aug 1989,Deliberate,1989-056A,8.0,,753.0,20.0,24 Oct 2018,
146,,Briz-M (Proton-M/Briz-M),16 Oct 2012,Propulsion,2012-044C,111.0,12.0,10439.0,271.0,24 Oct 2018,
147,,Iridium 47,07 Jun 2014,Collision,1997-082C,10.0,7.0,,,04 Dec 2017,
148,,Iridium 91,30 Nov 2014,Anomalous,2002-005A,4.0,2.0,,,04 Dec 2017,
149,,DMSP Block 5D-2 F13,03 Feb 2015,Electrical,1995-015A,235.0,218.0,27168.0,700.0,24 Oct 2018,
150,,Cosmos-2259,25 Jul 1993,Deliberate,1993-045A,,,,,04 Dec 2017,
151,,Cosmos-2262,18 Dec 1993,Deliberate,1993-057A,1.0,,188.0,5.0,24 Oct 2018,
152,,Proton-K/DM-2 ullage motor (SOZ),07 Sep 2000,Propulsion,1993-072E,,,,,04 Dec 2017,
153,,Titan-2-2 (Titan II SLV),07 Feb 1994,Propulsion,1994-004B,,,,,04 Dec 2017,
154,,HAPS (Pegasus/HAPS),03 Jun 1996,Propulsion,1994-029B,753.0,81.0,70827.0,1823.0,24 Oct 2018,
155,,Proton-K/DM-2 ullage motor (SOZ),21 Oct 1995,Propulsion,1994-038F,1.0,,188.0,5.0,24 Oct 2018,
156,,Molniya 3-36,19 May 2000,Aerodynamics,1989-094A,,,,,04 Dec 2017,
157,,H-II LE-5A,31 Mar 1995,Aerodynamics,1994-056B,,,,,04 Dec 2017,
158,,Proton-K/DM-2 ullage motor (SOZ),11 May 1995,Propulsion,1994-069E,,,,,04 Dec 2017,
159,,Briz-KM (Rokot-KM),26 Dec 1994,Propulsion,1994-085B,25.0,22.0,3070.0,184.0,24 Oct 2018,
160,,Cosmos-2313,26 Jun 1997,Unknown,1995-028A,12.0,,1129.0,30.0,24 Oct 2018,
161,,Cerise,24 Jul 1996,Collision,1995-033B,1.0,,254.0,6.0,24 Oct 2018,
162,,Proton-K/DM-2 ullage motor (SOZ),21 Nov 2000,Propulsion,1995-037K,,,,,04 Dec 2017,
163,,Blok-DM-2 (Proton-K/DM-2),19 Feb 1996,Propulsion,1996-010D,,,,,04 Dec 2017,
164,,Proton-K/DM-2 ullage motor (SOZ),13 Dec 1999,Propulsion,1996-034F,,,,,04 Dec 2017,
165,,Cosmos-2343,16 Sep 1997,Deliberate,1997-024A,,,,,04 Dec 2017,
166,,Cosmos-2347,22 Nov 1999,Unknown,1997-079A,8.0,,753.0,20.0,24 Oct 2018,
167,,Blok-ML (Molniya-M Blok-ML),28 Jun 2000,Aerodynamics,1989-094B,,,,,04 Dec 2017,
168,,Blok-DM-2M (Proton-K/DM-2M),25 Dec 1997,Propulsion,1997-086D,,,,,04 Dec 2017,
169,,H-II LE-5A,21 Feb 1998,Propulsion,1998-011B,,,,,04 Dec 2017,
170,,L-14B (YF40B) (Long March (CZ) 4B),11 Mar 2000,Propulsion,1999-057C,343.0,149.0,36125.0,930.0,24 Oct 2018,
171,,Molniya 3-19,13 Jan 2002,Aerodynamics,1982-083A,,,,,04 Dec 2017,
